date,ticker,dir,size_pct,entry,sl,target_2r,risk_per_share,outcome,bars_to_resolve,R
2024-11-01,WAL,Short,9,83.45,85.76,78.83,2.3100,STOP,3,-1.000
2024-11-01,TOL,Short,15,149.01,151.57,143.89,2.5600,STOP,2,-1.000
2024-11-01,TOL,Short,21,147.96,151.57,140.74,3.6100,STOP,2,-1.000
2024-11-01,WAL,Short,22,83.7,85.76,79.58,2.0600,STOP,3,-1.000
2024-11-05,CRWD,Long,20,302.37,294.68,317.75,7.6900,TARGET,1,2.000
2024-11-05,SMTC,Long,10,45.28,43.07,49.7,2.2100,TARGET,1,2.000
2024-11-05,STLD,Long,19,135.36,131.81,142.46,3.5500,STOP,0,-1.000
2024-11-06,VIST,Long,10,50.58,49.02,53.7,1.5600,STOP,1,-1.000
2024-11-06,TSM,Long,21,193.23,188.5,202.69,4.7300,STOP,0,-1.000
2024-11-07,VIST,Long,15,49.68,49.02,51,0.6600,STOP,0,-1.000
2024-11-11,ARM,Long,8,144.07,139.51,153.19,4.5600,STOP,0,-1.000
2024-11-11,ARM,Long,19,143.65,139.51,151.93,4.1400,STOP,0,-1.000
2024-11-11,CCJ,Long,10,51.43,50.16,53.97,1.2700,TARGET,1,2.000
2024-11-11,ARM,Long,13,140.04,137.29,145.54,2.7500,TARGET,0,2.000
2024-11-12,ANET,Long,14,397.6,390.22,412.36,7.3800,STOP,0,-1.000
2024-11-12,CCJ,Long,18,51.96,50.91,54.06,1.0500,TARGET,0,2.000
2024-11-12,COHR,Long,12,104.77,102.51,109.29,2.2600,STOP,1,-1.000
2024-11-13,COHR,Long,12,104.09,99.5,113.27,4.5900,STOP,1,-1.000
2024-11-13,DDOG,Long,17,124.83,121.26,131.97,3.5700,TARGET,1,2.000
2024-11-13,NRG,Long,13,94.14,90.37,101.68,3.7700,TARGET,11,2.000
2024-11-14,NRG,Long,14,94.01,90.37,101.29,3.6400,TARGET,8,2.000
2024-11-14,COHR,Long,15,101.48,100.67,103.1,0.8100,STOP,0,-1.000
2024-11-15,NRG,Long,24,92.31,90.37,96.19,1.9400,TARGET,3,2.000
2024-11-18,VRT,Long,11,124.87,118.64,137.33,6.2300,TARGET,1,2.000
2024-11-18,PRCT,Long,12,89.85,85.75,98.05,4.1000,TARGET,6,2.000
2024-11-18,DECK,Long,18,175.68,174.06,178.92,1.6200,STOP,0,-1.000
2024-11-19,COHR,Long,12,96.89,93.5,103.67,3.3900,STOP,0,-1.000
2024-11-19,MRVL,Long,14,88.88,87.36,91.92,1.5200,TARGET,2,2.000
2024-11-19,IOT,Long,8,50.11,48.61,53.11,1.5000,TARGET,1,2.000
2024-11-19,MRVL,Long,14,88.88,87.36,91.92,1.5200,TARGET,2,2.000
2024-11-21,FOUR,Long,12,103.38,99.01,112.12,4.3700,TARGET,2,2.000
2024-11-21,GGAL,Long,7,57.8,55.84,61.72,1.9600,STOP,0,-1.000
2024-11-21,NCLH,Long,13,26.24,25.75,27.22,0.4900,TARGET,2,2.000
2024-11-22,GGAL,Long,11,55.5,54.23,58.04,1.2700,STOP,0,-1.000
2024-11-22,CHTR,Long,14,389.63,383.06,402.77,6.5700,STOP,1,-1.000
2024-11-25,CHTR,Long,14,387.29,383.06,395.75,4.2300,STOP,0,-1.000
2024-11-25,GGAL,Long,16,55.99,54.23,59.51,1.7600,TARGET,4,2.000
2024-11-26,CHTR,Long,16,388.52,382.5,400.56,6.0200,TARGET,5,2.000
2024-11-26,BWXT,Long,19,131.3,129.58,134.74,1.7200,STOP,1,-1.000
2024-11-26,BTSG,Long,9,18.74,18.22,19.78,0.5200,STOP,0,-1.000
2024-11-27,NVDA,Long,15,134.55,133.4,136.85,1.1500,STOP,0,-1.000
2024-11-27,COIN,Long,11,302.75,289.13,329.99,13.6200,TARGET,4,2.000
2024-11-27,NVDA,Long,10,133.64,131.9,137.12,1.7400,STOP,0,-1.000
2024-11-27,CAVA,Long,16,142.05,139.86,146.43,2.1900,TARGET,2,2.000
2024-11-29,TSLA,Long,8,336.61,326.59,356.65,10.0200,TARGET,1,2.000
2024-11-29,CAVA,Long,12,142.89,139.86,148.95,3.0300,TARGET,4,2.000
2024-11-29,TSLA,Long,15,337.72,326.59,359.98,11.1300,TARGET,1,2.000
2024-11-29,SQ,Long,17,88.87,88.2,90.21,0.6700,NO_DATA,,
2024-11-29,LITE,Long,11,86.42,82.61,94.04,3.8100,TARGET,3,2.000
2024-12-02,COHR,Long,8,101.52,95.43,113.7,6.0900,STOP,13,-1.000
2024-12-02,ALAB,Long,10,102.58,96.79,114.16,5.7900,TARGET,1,2.000
2024-12-02,VRT,Long,11,130.6,124.52,142.76,6.0800,STOP,0,-1.000
2024-12-02,CLS,Long,9,86.02,81.29,95.48,4.7300,TARGET,4,2.000
2024-12-02,DUOL,Long,19,344.34,340,353.02,4.3400,STOP,0,-1.000
2024-12-02,PRCT,Long,15,95.57,94.01,98.69,1.5600,STOP,1,-1.000
2024-12-04,RVLV,Long,12,34.7,34.05,36,0.6500,STOP,0,-1.000
2024-12-04,IBIT,Long,11,54.56,53.28,57.12,1.2800,TARGET,1,2.000
2024-12-05,AA,Long,15,45.42,45.04,46.18,0.3800,TARGET,0,2.000
2024-12-05,EQT,Long,10,44.965,43.84,47.22,1.1250,STOP,1,-1.000
2024-12-05,SQQQ,Long,10,30.48,29.99,31.46,0.4900,TARGET,0,2.000
2024-12-06,SQQQ,Long,20,30.19,29.66,31.25,0.5300,TARGET,0,2.000
2024-12-09,COHR,Long,15,111.96,108.21,119.46,3.7500,STOP,0,-1.000
2024-12-09,VST,Long,9,155.6907,151.25,164.57,4.4407,STOP,0,-1.000
2024-12-09,IBIT,Long,10,57.12,55.7,59.96,1.4200,STOP,0,-1.000
2024-12-09,TNA,Long,23,54.06,52.86,56.46,1.2000,STOP,0,-1.000
2024-12-09,SMTC,Long,7,64.85,62.52,69.51,2.3300,STOP,1,-1.000
2024-12-10,UPST,Long,5,78.37,74.35,86.41,4.0200,STOP,0,-1.000
2024-12-10,ACHR,Long,3,8.09,7.43,9.41,0.6600,STOP,1,-1.000
